Urtea,Hilabetea,Estazioa,Erabiltzaile_Kopurua,Ibilbide_Kopurua,Batez_Besteko_Iraupena
2015,1,Ayuntamiento,511,1.800,"40,59"
2015,1,Andia,398,985,"51,37"
2015,1,Pio XII,394,1.239,"54,98"
2015,1,Plaza Cataluña,362,1.304,"40,01"
2015,1,Easo,344,1.357,"36,40"
2015,1,Universidades,301,1.056,"55,77"
2015,1,Av. Zarautz,296,927,"52,59"
2015,1,Arrasate,294,756,"57,22"
2015,1,Paseo Francia,273,787,"45,38"
2015,1,Magisterio,257,861,"33,90"
2015,1,San Francisco,237,799,"32,65"
2015,1,Anoeta,196,445,"48,21"
2015,1,Isabel II,178,611,"37,39"
2015,1,Lugaritz,147,483,"42,78"
2015,1,Riberas,78,340,"44,69"
2015,1,Intxaurrondo,71,324,"51,76"
2015,2,Ayuntamiento,424,1.297,"50,33"
2015,2,Pio XII,339,1.025,"52,31"
2015,2,Plaza Cataluña,308,868,"56,76"
2015,2,Andia,300,729,"53,58"
2015,2,Easo,286,1.047,"55,55"
2015,2,Universidades,247,840,"61,08"
2015,2,Paseo Francia,239,649,"49,84"
2015,2,Arrasate,225,564,"73,91"
2015,2,Av. Zarautz,224,625,"68,83"
2015,2,Magisterio,222,723,"57,99"
2015,2,San Francisco,208,652,"42,93"
2015,2,Anoeta,178,415,"57,52"
2015,2,Lugaritz,102,332,"63,08"
2015,2,Isabel II,90,181,"128,02"
2015,2,Riberas,75,292,"30,57"
2015,2,Intxaurrondo,59,229,"44,79"
2015,3,Ayuntamiento,487,1.586,"85,45"
2015,3,Pio XII,371,1.069,"69,74"
2015,3,Andia,350,850,"65,17"
2015,3,Easo,348,1.254,"48,09"
2015,3,Plaza Cataluña,343,1.139,"48,88"
2015,3,Universidades,334,1.100,"55,70"
2015,3,Av. Zarautz,290,740,"67,93"
2015,3,Arrasate,276,726,"89,11"
2015,3,Paseo Francia,257,686,"80,20"
2015,3,Magisterio,256,804,"55,53"
2015,3,San Francisco,249,798,"53,21"
2015,3,Isabel II,193,557,"41,94"
2015,3,Anoeta,173,401,"73,13"
2015,3,Lugaritz,140,401,"68,22"
2015,3,Riberas,84,383,"106,35"
2015,3,Intxaurrondo,67,270,"52,31"
2015,4,Ayuntamiento,598,2.115,"89,23"
2015,4,Andia,456,1.024,"51,55"
2015,4,Pio XII,437,1.160,"49,55"
2015,4,Plaza Cataluña,428,1.387,"68,54"
2015,4,Easo,383,1.152,"65,06"
2015,4,Av. Zarautz,357,859,"65,79"
2015,4,Universidades,335,979,"43,15"
2015,4,Arrasate,335,746,"81,31"
2015,4,San Francisco,295,789,"42,49"
2015,4,Magisterio,291,751,"39,56"
2015,4,Paseo Francia,283,723,"66,44"
2015,4,Anoeta,242,519,"78,44"
2015,4,Isabel II,236,708,"56,28"
2015,4,Lugaritz,159,497,"79,04"
2015,4,Riberas,107,426,"44,38"
2015,4,Intxaurrondo,87,381,"39,38"
2015,5,Ayuntamiento,536,1.710,"77,87"
2015,5,Pio XII,356,817,"102,34"
2015,5,Plaza Cataluña,350,899,"80,61"
2015,5,Andia,325,631,"90,51"
2015,5,Easo,319,870,"84,68"
2015,5,Arrasate,304,637,"94,50"
2015,5,Universidades,249,595,"130,27"
2015,5,San Francisco,216,581,"125,06"
2015,5,Isabel II,210,489,"86,19"
2015,5,Paseo Francia,209,423,"70,91"
2015,5,Magisterio,199,397,"70,54"
2015,5,Av. Zarautz,199,364,"100,33"
2015,5,Anoeta,170,342,"85,77"
2015,5,Riberas,120,435,"85,86"
2015,5,Lugaritz,85,154,"61,47"
2015,5,Intxaurrondo,81,334,"187,34"
2015,6,Ayuntamiento,471,1.216,"147,23"
2015,6,Plaza Cataluña,308,722,"98,17"
2015,6,Easo,279,642,"113,35"
2015,6,Pio XII,268,571,"62,37"
2015,6,Andia,250,483,"111,10"
2015,6,Arrasate,242,444,"153,17"
2015,6,Isabel II,198,531,"82,76"
2015,6,Universidades,171,328,"79,25"
2015,6,San Francisco,162,291,"121,44"
2015,6,Av. Zarautz,156,235,"74,07"
2015,6,Magisterio,153,236,"107,61"
2015,6,Paseo Francia,151,270,"137,56"
2015,6,Anoeta,136,223,"110,74"
2015,6,Riberas,100,325,"79,99"
2015,6,Lugaritz,73,146,"156,10"
2015,6,Intxaurrondo,66,294,"133,21"
2015,7,Ayuntamiento,373,845,"171,58"
2015,7,Plaza Cataluña,226,437,"107,98"
2015,7,Pio XII,195,359,"170,02"
