Urtea,Hilabetea,HUB_izena,Kontsumoa_KW
2016,1,ubarburu,5.064
2016,1,ursalto,2.007
2016,2,ubarburu,4.441
2016,2,ursalto,1.789
2016,3,ubarburu,5.118
2016,3,ursalto,1.540
2016,4,ubarburu,4.213
2016,4,ursalto,1.542
2016,5,ubarburu,3.675
2016,5,ursalto,1.142
2016,6,ubarburu,3.566
2016,6,ursalto,1.314
2016,7,ubarburu,4.358
2016,7,ursalto,1.293
2016,8,ubarburu,3.910
2016,8,ursalto,1.603
2016,9,ubarburu,5.006
2016,9,ursalto,1.575
2016,10,ubarburu,5.573
2016,10,ursalto,2.208
2016,11,ubarburu,6.322
2016,11,ursalto,2.088
2016,12,ubarburu,6.030
2016,12,ursalto,2.197
2017,1,ubarburu,5.295
2017,1,ursalto,2.012
2017,2,ubarburu,4.756
2017,2,ursalto,1.775
2017,3,ubarburu,3.884
2017,3,ursalto,1.762
2017,4,ubarburu,3.543
2017,4,ursalto,1.354
2017,5,ubarburu,2.408
2017,5,ursalto,1.209
2017,6,ubarburu,2.070
2017,6,ursalto,687
2017,7,ubarburu,1.726
2017,7,ursalto,612
2017,8,ubarburu,1.777
2017,8,ursalto,914
2017,9,ubarburu,1.235
2017,9,ursalto,812
2017,10,ubarburu,1.733
2017,10,ursalto,985
2017,11,ubarburu,1.992
2017,11,ursalto,1.153
2017,12,ubarburu,1.997
2017,12,ursalto,1.159
2018,1,ubarburu,1.957
2018,1,ursalto,1.196
2018,2,ubarburu,1.571
2018,2,ursalto,923
2018,3,ubarburu,1.365
2018,3,ursalto,807
2018,4,ubarburu,1.111
2018,4,ursalto,665
2018,5,ubarburu,986
2018,5,ursalto,610
2018,6,ubarburu,809
2018,6,ursalto,532
2018,7,ubarburu,688
2018,7,ursalto,471
2018,8,ubarburu,959
2018,8,ursalto,599
2018,9,ubarburu,1.058
2018,9,ursalto,766
2018,10,ubarburu,1.200
2018,10,ursalto,900
2018,11,ubarburu,1.500
2018,11,ursalto,1.050
2018,12,ubarburu,1.700
2018,12,ursalto,1.300
