arriskua,maila,eguna,ordua,horaParaUri,horafecha
Ez dago arriskurik,1.111,2017-11-10,13:00,13-00,2017-11-10T13:00:00Z
Ez dago arriskurik,1.145,2017-11-10,12:50,12-50,2017-11-10T12:50:00Z
Ez dago arriskurik,1.181,2017-11-10,12:40,12-40,2017-11-10T12:40:00Z
Ez dago arriskurik,1.223,2017-11-10,12:30,12-30,2017-11-10T12:30:00Z
Ez dago arriskurik,1.269,2017-11-10,12:20,12-20,2017-11-10T12:20:00Z
Ez dago arriskurik,1.312,2017-11-10,12:10,12-10,2017-11-10T12:10:00Z
Ez dago arriskurik,1.362,2017-11-10,12:00,12-00,2017-11-10T12:00:00Z
Ez dago arriskurik,1.413,2017-11-10,11:50,11-50,2017-11-10T11:50:00Z
Ez dago arriskurik,1.466,2017-11-10,11:40,11-40,2017-11-10T11:40:00Z
Ez dago arriskurik,1.514,2017-11-10,11:30,11-30,2017-11-10T11:30:00Z
Ez dago arriskurik,1.562,2017-11-10,11:20,11-20,2017-11-10T11:20:00Z
Ez dago arriskurik,1.606,2017-11-10,11:10,11-10,2017-11-10T11:10:00Z
Ez dago arriskurik,1.668,2017-11-10,11:00,11-00,2017-11-10T11:00:00Z
Ez dago arriskurik,1.71,2017-11-10,10:50,10-50,2017-11-10T10:50:00Z
Ez dago arriskurik,1.755,2017-11-10,10:40,10-40,2017-11-10T10:40:00Z
Ez dago arriskurik,1.819,2017-11-10,10:30,10-30,2017-11-10T10:30:00Z
Ez dago arriskurik,1.849,2017-11-10,10:20,10-20,2017-11-10T10:20:00Z
Ez dago arriskurik,1.875,2017-11-10,10:10,10-10,2017-11-10T10:10:00Z
Ez dago arriskurik,1.922,2017-11-10,10:00,10-00,2017-11-10T10:00:00Z
Ez dago arriskurik,1.922,2017-11-10,09:50,09-50,2017-11-10T09:50:00Z
Ez dago arriskurik,1.931,2017-11-10,09:40,09-40,2017-11-10T09:40:00Z
Ez dago arriskurik,1.935,2017-11-10,09:30,09-30,2017-11-10T09:30:00Z
Ez dago arriskurik,1.933,2017-11-10,09:20,09-20,2017-11-10T09:20:00Z
Ez dago arriskurik,1.93,2017-11-10,09:10,09-10,2017-11-10T09:10:00Z
Ez dago arriskurik,1.911,2017-11-10,09:00,09-00,2017-11-10T09:00:00Z
Ez dago arriskurik,1.901,2017-11-10,08:50,08-50,2017-11-10T08:50:00Z
Ez dago arriskurik,1.871,2017-11-10,08:40,08-40,2017-11-10T08:40:00Z
Ez dago arriskurik,1.869,2017-11-10,08:30,08-30,2017-11-10T08:30:00Z
Ez dago arriskurik,1.83,2017-11-10,08:20,08-20,2017-11-10T08:20:00Z
Ez dago arriskurik,1.796,2017-11-10,08:10,08-10,2017-11-10T08:10:00Z
